Mês/Ano,Região,Estado,Produto,Quantidade Processada (t)
09/2018,SUL,Paraná,CANA DE AÇÚCAR,"1790647,596"
09/2018,NORDESTE,Alagoas,MELAÇO,"26529,304"
09/2018,NORDESTE,Maranhão,MELAÇO,"2379,000"
09/2018,NORDESTE,Pernambuco,MELAÇO,"53054,559"
09/2018,NORDESTE,Piauí,MELAÇO,"12276,215"
09/2018,SUDESTE,Minas Gerais,MELAÇO,"53660,704"
09/2018,SUDESTE,São Paulo,MELAÇO,"158730,176"
09/2018,SUL,Paraná,MELAÇO,"365,742"
09/2018,CENTRO OESTE,Goiás,MILHO,"49194,574"
09/2018,CENTRO OESTE,Mato Grosso,MILHO,"96847,880"
09/2018,SUDESTE,São Paulo,MILHO,"2769,609"
09/2018,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"333,959"
09/2018,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"3620,108"
09/2018,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"757220,542"
08/2018,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"7457,140"
08/2018,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"7388561,457"
08/2018,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"1888329,967"
08/2018,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"4230769,426"
08/2018,NORDESTE,Alagoas,CANA DE AÇÚCAR,"35791,721"
08/2018,NORDESTE,Bahia,CANA DE AÇÚCAR,"450870,556"
08/2018,NORDESTE,Maranhão,CANA DE AÇÚCAR,"381177,010"
08/2018,NORDESTE,Paraíba,CANA DE AÇÚCAR,"633681,814"
08/2018,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"87040,901"
08/2018,NORDESTE,Piauí,CANA DE AÇÚCAR,"10301,574"
08/2018,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"6574,080"
08/2018,NORTE,Amazonas,CANA DE AÇÚCAR,"9053,300"
08/2018,NORTE,Pará,CANA DE AÇÚCAR,"87740,656"
08/2018,NORTE,Rondônia,CANA DE AÇÚCAR,"6033,880"
08/2018,NORTE,Tocantins,CANA DE AÇÚCAR,"296554,008"
08/2018,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"252592,812"
08/2018,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"4606232,484"
08/2018,SUDESTE,Rio de Janeiro,CANA DE AÇÚCAR,"339560,736"
08/2018,SUDESTE,São Paulo,CANA DE AÇÚCAR,"22717662,910"
08/2018,SUL,Paraná,CANA DE AÇÚCAR,"1828984,341"
08/2018,NORDESTE,Alagoas,MELAÇO,"7518,447"
08/2018,NORDESTE,Pernambuco,MELAÇO,"16288,788"
08/2018,NORDESTE,Piauí,MELAÇO,"5375,741"
08/2018,SUDESTE,Minas Gerais,MELAÇO,"86833,565"
08/2018,SUDESTE,São Paulo,MELAÇO,"173484,429"
08/2018,SUL,Paraná,MELAÇO,"341,067"
08/2018,CENTRO OESTE,Goiás,MILHO,"72134,469"
08/2018,CENTRO OESTE,Mato Grosso,MILHO,"85969,824"
08/2018,SUDESTE,São Paulo,MILHO,"2655,283"
08/2018,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"2498,232"
08/2018,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"3921,245"
08/2018,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"968606,867"
08/2018,SUL,Rio Grande do Sul,OUTRAS MATÉRIAS - PRIMAS,"5,600"
07/2018,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"10737,000"
07/2018,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"8260608,123"
07/2018,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"1971862,722"
07/2018,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"5777196,818"
07/2018,NORDESTE,Bahia,CANA DE AÇÚCAR,"416646,436"
07/2018,NORDESTE,Maranhão,CANA DE AÇÚCAR,"424463,554"
07/2018,NORDESTE,Paraíba,CANA DE AÇÚCAR,"101028,590"
07/2018,NORDESTE,Piauí,CANA DE AÇÚCAR,"39692,236"
07/2018,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"38166,690"
07/2018,NORTE,Amazonas,CANA DE AÇÚCAR,"4404,770"
07/2018,NORTE,Pará,CANA DE AÇÚCAR,"79667,997"
07/2018,NORTE,Rondônia,CANA DE AÇÚCAR,"3825,130"
07/2018,NORTE,Tocantins,CANA DE AÇÚCAR,"284966,864"
07/2018,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"283288,150"
07/2018,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"4848550,469"
07/2018,SUDESTE,Rio de Janeiro,CANA DE AÇÚCAR,"321768,710"
07/2018,SUDESTE,São Paulo,CANA DE AÇÚCAR,"27143421,869"
07/2018,SUL,Paraná,CANA DE AÇÚCAR,"2758205,982"
07/2018,NORDESTE,Maranhão,MELAÇO,"2545,815"
07/2018,NORDESTE,Piauí,MELAÇO,"3861,665"
07/2018,SUDESTE,Minas Gerais,MELAÇO,"92028,449"
07/2018,SUDESTE,São Paulo,MELAÇO,"209336,873"
07/2018,SUL,Paraná,MELAÇO,"1193,366"
07/2018,CENTRO OESTE,Goiás,MILHO,"49464,708"
07/2018,CENTRO OESTE,Mato Grosso,MILHO,"78862,263"
07/2018,SUDESTE,São Paulo,MILHO,"2296,637"
07/2018,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"4364,030"
07/2018,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"3817,576"
07/2018,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"1349186,343"
06/2018,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"9357,560"
06/2018,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"7948553,774"
06/2018,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"2101131,827"
06/2018,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"5158161,859"
06/2018,NORDESTE,Bahia,CANA DE AÇÚCAR,"375292,650"
06/2018,NORDESTE,Maranhão,CANA DE AÇÚCAR,"249738,145"
06/2018,NORDESTE,Piauí,CANA DE AÇÚCAR,"14503,071"
06/2018,NORTE,Pará,CANA DE AÇÚCAR,"42990,092"
06/2018,NORTE,Tocantins,CANA DE AÇÚCAR,"312517,442"
06/2018,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"246582,209"
06/2018,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"4303843,226"
06/2018,SUDESTE,Rio de Janeiro,CANA DE AÇÚCAR,"51621,070"
06/2018,SUDESTE,São Paulo,CANA DE AÇÚCAR,"27144772,655"
06/2018,SUL,Paraná,CANA DE AÇÚCAR,"2407352,487"
06/2018,NORDESTE,Maranhão,MELAÇO,"1275,649"
06/2018,NORDESTE,Piauí,MELAÇO,"2107,907"
06/2018,SUDESTE,Minas Gerais,MELAÇO,"75462,327"
06/2018,SUDESTE,São Paulo,MELAÇO,"191259,805"
06/2018,SUL,Paraná,MELAÇO,"742,515"
06/2018,CENTRO OESTE,Goiás,MILHO,"31952,505"
06/2018,CENTRO OESTE,Mato Grosso,MILHO,"78754,989"
06/2018,SUDESTE,São Paulo,MILHO,"1254,350"
06/2018,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"1338,181"
06/2018,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"3597,185"
06/2018,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"1181616,495"
05/2018,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"7864,610"
05/2018,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"6800110,911"
05/2018,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"1596335,885"
05/2018,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"4046501,234"
05/2018,NORDESTE,Bahia,CANA DE AÇÚCAR,"314932,670"
05/2018,NORDESTE,Maranhão,CANA DE AÇÚCAR,"30791,700"
05/2018,NORTE,Tocantins,CANA DE AÇÚCAR,"252212,782"
05/2018,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"203964,534"
05/2018,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"4151166,560"
05/2018,SUDESTE,São Paulo,CANA DE AÇÚCAR,"23878630,055"
05/2018,SUL,Paraná,CANA DE AÇÚCAR,"2128126,697"
05/2018,CENTRO OESTE,Mato Grosso do Sul,MELAÇO,"1347,382"
05/2018,SUDESTE,Minas Gerais,MELAÇO,"60999,518"
05/2018,SUDESTE,São Paulo,MELAÇO,"181223,566"
05/2018,SUL,Paraná,MELAÇO,"330,806"
05/2018,CENTRO OESTE,Goiás,MILHO,"23403,042"
05/2018,CENTRO OESTE,Mato Grosso,MILHO,"117468,850"
05/2018,SUDESTE,São Paulo,MILHO,"3594,984"
05/2018,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"1212,785"
05/2018,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"2458,053"
05/2018,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"1262476,248"
05/2018,SUL,Rio Grande do Sul,OUTRAS MATÉRIAS - PRIMAS,"2,000"
04/2018,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"3888341,876"
04/2018,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"764362,764"
04/2018,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"4589713,670"
04/2018,NORDESTE,Alagoas,CANA DE AÇÚCAR,"17689,263"
04/2018,NORDESTE,Bahia,CANA DE AÇÚCAR,"83997,370"
04/2018,NORDESTE,Paraíba,CANA DE AÇÚCAR,"89838,360"
04/2018,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"90675,460"
04/2018,NORTE,Tocantins,CANA DE AÇÚCAR,"114490,674"
04/2018,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"36714,193"
04/2018,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"2836183,070"
04/2018,SUDESTE,São Paulo,CANA DE AÇÚCAR,"19971397,727"
04/2018,SUL,Paraná,CANA DE AÇÚCAR,"2040733,014"
04/2018,NORDESTE,Alagoas,MELAÇO,"18195,372"
04/2018,SUDESTE,Minas Gerais,MELAÇO,"52953,557"
04/2018,SUDESTE,São Paulo,MELAÇO,"107892,756"
04/2018,SUL,Paraná,MELAÇO,"296,746"
04/2018,CENTRO OESTE,Goiás,MILHO,"25853,722"
04/2018,CENTRO OESTE,Mato Grosso,MILHO,"135666,960"
04/2018,SUDESTE,São Paulo,MILHO,"1880,686"
04/2018,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"172,030"
04/2018,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"2869,448"
04/2018,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"510,833"
03/2018,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"661125,324"
03/2018,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"23742,800"
03/2018,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"1703269,090"
03/2018,NORDESTE,Alagoas,CANA DE AÇÚCAR,"186039,241"
03/2018,NORDESTE,Paraíba,CANA DE AÇÚCAR,"130916,880"
03/2018,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"190950,010"
03/2018,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"23267,440"
03/2018,NORDESTE,Sergipe,CANA DE AÇÚCAR,"22024,542"
03/2018,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"556225,800"
03/2018,SUDESTE,São Paulo,CANA DE AÇÚCAR,"4917336,473"
03/2018,SUL,Paraná,CANA DE AÇÚCAR,"438278,461"
03/2018,NORDESTE,Alagoas,MELAÇO,"15425,922"
03/2018,NORDESTE,Pernambuco,MELAÇO,"6790,868"
03/2018,SUDESTE,Minas Gerais,MELAÇO,"4529,065"
03/2018,SUDESTE,São Paulo,MELAÇO,"12276,193"
03/2018,SUL,Paraná,MELAÇO,"459,496"
03/2018,CENTRO OESTE,Goiás,MILHO,"33281,329"
03/2018,CENTRO OESTE,Mato Grosso,MILHO,"137124,783"
03/2018,SUDESTE,São Paulo,MILHO,"774,025"
03/2018,SUL,Paraná,MILHO,"3424,720"
03/2018,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"650,614"
03/2018,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"4325,189"
02/2018,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"2155,520"
02/2018,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"149981,560"
02/2018,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"797539,200"
02/2018,NORDESTE,Alagoas,CANA DE AÇÚCAR,"369691,514"
02/2018,NORDESTE,Paraíba,CANA DE AÇÚCAR,"196622,216"
02/2018,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"405641,082"
02/2018,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"45047,310"
02/2018,NORDESTE,Sergipe,CANA DE AÇÚCAR,"68884,079"
02/2018,SUDESTE,São Paulo,CANA DE AÇÚCAR,"146106,060"
02/2018,SUL,Paraná,CANA DE AÇÚCAR,"94885,000"
02/2018,NORDESTE,Alagoas,MELAÇO,"42020,020"
02/2018,NORDESTE,Pernambuco,MELAÇO,"27639,540"
02/2018,SUDESTE,São Paulo,MELAÇO,"2259,388"
02/2018,CENTRO OESTE,Goiás,MILHO,"43856,863"
02/2018,CENTRO OESTE,Mato Grosso,MILHO,"117930,195"
02/2018,SUDESTE,São Paulo,MILHO,"2539,855"
02/2018,SUL,Paraná,MILHO,"2307,050"
02/2018,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"702,999"
02/2018,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"4757,362"
02/2018,SUL,Rio Grande do Sul,OUTRAS MATÉRIAS - PRIMAS,"2,000"
01/2018,SUDESTE,São Paulo,BAGAÇO OU PALHA DE CANA,"3823,130"
01/2018,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"475179,340"
01/2018,NORDESTE,Alagoas,CANA DE AÇÚCAR,"487469,865"
01/2018,NORDESTE,Paraíba,CANA DE AÇÚCAR,"608480,975"
01/2018,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"445590,007"
01/2018,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"118514,380"
01/2018,NORDESTE,Sergipe,CANA DE AÇÚCAR,"147416,204"
01/2018,SUDESTE,São Paulo,CANA DE AÇÚCAR,"28419,975"
01/2018,SUL,Paraná,CANA DE AÇÚCAR,"18132,400"
01/2018,NORDESTE,Alagoas,MELAÇO,"86971,432"
01/2018,NORDESTE,Pernambuco,MELAÇO,"59789,082"
01/2018,SUDESTE,São Paulo,MELAÇO,"3385,870"
01/2018,CENTRO OESTE,Goiás,MILHO,"43882,834"
01/2018,CENTRO OESTE,Mato Grosso,MILHO,"137444,012"
01/2018,SUDESTE,São Paulo,MILHO,"3835,244"
01/2018,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"440,144"
01/2018,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"5083,346"
12/2017,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"438088,540"
12/2017,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"922788,368"
12/2017,NORDESTE,Alagoas,CANA DE AÇÚCAR,"470816,141"
12/2017,NORDESTE,Bahia,CANA DE AÇÚCAR,"11138,380"
12/2017,NORDESTE,Maranhão,CANA DE AÇÚCAR,"31432,910"
12/2017,NORDESTE,Paraíba,CANA DE AÇÚCAR,"699767,868"
12/2017,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"505483,247"
12/2017,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"151142,930"
12/2017,NORDESTE,Sergipe,CANA DE AÇÚCAR,"165360,617"
12/2017,NORTE,Pará,CANA DE AÇÚCAR,"43746,981"
12/2017,NORTE,Rondônia,CANA DE AÇÚCAR,"0,338"
12/2017,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"13424,642"
12/2017,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"338040,245"
12/2017,SUDESTE,São Paulo,CANA DE AÇÚCAR,"4417903,550"
12/2017,SUL,Paraná,CANA DE AÇÚCAR,"592956,633"
12/2017,NORDESTE,Alagoas,MELAÇO,"93888,700"
12/2017,NORDESTE,Pernambuco,MELAÇO,"84455,048"
12/2017,SUDESTE,Minas Gerais,MELAÇO,"971,076"
12/2017,SUDESTE,São Paulo,MELAÇO,"15280,168"
12/2017,CENTRO OESTE,Goiás,MILHO,"40112,222"
12/2017,CENTRO OESTE,Mato Grosso,MILHO,"127008,479"
12/2017,SUDESTE,São Paulo,MILHO,"3053,095"
12/2017,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"3320,710"
12/2017,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"4776,675"
12/2017,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"1649,340"
11/2017,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"2948410,587"
11/2017,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"745654,925"
11/2017,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"2111574,795"
11/2017,NORDESTE,Alagoas,CANA DE AÇÚCAR,"378520,361"
11/2017,NORDESTE,Bahia,CANA DE AÇÚCAR,"223412,205"
11/2017,NORDESTE,Maranhão,CANA DE AÇÚCAR,"160798,330"
11/2017,NORDESTE,Paraíba,CANA DE AÇÚCAR,"696805,808"
11/2017,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"497505,413"
11/2017,NORDESTE,Piauí,CANA DE AÇÚCAR,"15892,005"
11/2017,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"168651,100"
11/2017,NORDESTE,Sergipe,CANA DE AÇÚCAR,"162793,282"
11/2017,NORTE,Amazonas,CANA DE AÇÚCAR,"8882,840"
11/2017,NORTE,Pará,CANA DE AÇÚCAR,"101563,327"
11/2017,NORTE,Rondônia,CANA DE AÇÚCAR,"3597,360"
11/2017,NORTE,Tocantins,CANA DE AÇÚCAR,"198975,840"
11/2017,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"154143,127"
11/2017,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"1888488,239"
11/2017,SUDESTE,Rio de Janeiro,CANA DE AÇÚCAR,"2051,220"
11/2017,SUDESTE,São Paulo,CANA DE AÇÚCAR,"8913675,857"
11/2017,SUL,Paraná,CANA DE AÇÚCAR,"927555,017"
11/2017,NORDESTE,Alagoas,MELAÇO,"87348,202"
11/2017,NORDESTE,Maranhão,MELAÇO,"184,000"
11/2017,NORDESTE,Pernambuco,MELAÇO,"65397,563"
11/2017,NORDESTE,Piauí,MELAÇO,"2958,380"
11/2017,SUDESTE,Minas Gerais,MELAÇO,"14678,593"
11/2017,SUDESTE,São Paulo,MELAÇO,"36744,717"
11/2017,CENTRO OESTE,Goiás,MILHO,"30275,360"
11/2017,CENTRO OESTE,Mato Grosso,MILHO,"87093,764"
11/2017,SUDESTE,São Paulo,MILHO,"3362,447"
11/2017,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"1469,971"
11/2017,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"4867,751"
11/2017,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"495791,787"
10/2017,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"5633541,868"
10/2017,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"1604336,980"
10/2017,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"2831456,354"
10/2017,NORDESTE,Alagoas,CANA DE AÇÚCAR,"330242,720"
10/2017,NORDESTE,Bahia,CANA DE AÇÚCAR,"369992,080"
10/2017,NORDESTE,Maranhão,CANA DE AÇÚCAR,"508894,258"
10/2017,NORDESTE,Paraíba,CANA DE AÇÚCAR,"744085,577"
10/2017,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"465925,593"
10/2017,NORDESTE,Piauí,CANA DE AÇÚCAR,"16716,664"
10/2017,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"185002,960"
10/2017,NORDESTE,Sergipe,CANA DE AÇÚCAR,"34366,408"
10/2017,NORTE,Amazonas,CANA DE AÇÚCAR,"7966,210"
10/2017,NORTE,Pará,CANA DE AÇÚCAR,"97457,379"
10/2017,NORTE,Rondônia,CANA DE AÇÚCAR,"7808,270"
10/2017,NORTE,Tocantins,CANA DE AÇÚCAR,"266380,400"
10/2017,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"199638,224"
10/2017,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"2842304,159"
10/2017,SUDESTE,Rio de Janeiro,CANA DE AÇÚCAR,"77713,922"
10/2017,SUDESTE,São Paulo,CANA DE AÇÚCAR,"12256801,523"
10/2017,SUL,Paraná,CANA DE AÇÚCAR,"876990,313"
10/2017,NORDESTE,Alagoas,MELAÇO,"41779,711"
10/2017,NORDESTE,Maranhão,MELAÇO,"2619,000"
10/2017,NORDESTE,Pernambuco,MELAÇO,"54726,542"
10/2017,NORDESTE,Piauí,MELAÇO,"5874,245"
10/2017,SUDESTE,Minas Gerais,MELAÇO,"22918,470"
10/2017,SUDESTE,São Paulo,MELAÇO,"100237,520"
10/2017,CENTRO OESTE,Goiás,MILHO,"29497,196"
10/2017,CENTRO OESTE,Mato Grosso,MILHO,"82941,695"
10/2017,SUDESTE,São Paulo,MILHO,"3038,663"
10/2017,CENTRO OESTE,Goiás,OUTRAS MATÉRIAS - PRIMAS,"119835,990"
10/2017,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"1207,953"
10/2017,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"4735,900"
10/2017,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"1832601,781"
09/2017,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"6202802,132"
09/2017,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"1728726,603"
09/2017,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"3792445,771"
09/2017,NORDESTE,Alagoas,CANA DE AÇÚCAR,"63584,423"
09/2017,NORDESTE,Bahia,CANA DE AÇÚCAR,"383495,113"
09/2017,NORDESTE,Maranhão,CANA DE AÇÚCAR,"204210,819"
09/2017,NORDESTE,Paraíba,CANA DE AÇÚCAR,"653518,823"
09/2017,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"144513,147"
09/2017,NORDESTE,Piauí,CANA DE AÇÚCAR,"4416,798"
09/2017,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"89305,470"
09/2017,NORTE,Amazonas,CANA DE AÇÚCAR,"10231,830"
09/2017,NORTE,Pará,CANA DE AÇÚCAR,"87397,144"
09/2017,NORTE,Tocantins,CANA DE AÇÚCAR,"247949,860"
09/2017,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"175873,991"
09/2017,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"3348858,255"
09/2017,SUDESTE,Rio de Janeiro,CANA DE AÇÚCAR,"19717,575"
09/2017,SUDESTE,São Paulo,CANA DE AÇÚCAR,"14532724,708"
09/2017,SUL,Paraná,CANA DE AÇÚCAR,"1828198,784"
09/2017,NORDESTE,Alagoas,MELAÇO,"5420,321"
09/2017,NORDESTE,Maranhão,MELAÇO,"2655,906"
09/2017,NORDESTE,Pernambuco,MELAÇO,"17500,293"
09/2017,NORDESTE,Piauí,MELAÇO,"21648,164"
09/2017,SUDESTE,Minas Gerais,MELAÇO,"23351,297"
09/2017,SUDESTE,São Paulo,MELAÇO,"148595,204"
09/2017,SUL,Paraná,MELAÇO,"1,492"
09/2017,CENTRO OESTE,Goiás,MILHO,"23263,936"
09/2017,CENTRO OESTE,Mato Grosso,MILHO,"80970,319"
09/2017,SUDESTE,São Paulo,MILHO,"3264,964"
09/2017,CENTRO OESTE,Goiás,OUTRAS MATÉRIAS - PRIMAS,"120832,340"
09/2017,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"1206,680"
09/2017,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"4694,357"
09/2017,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"1074948,434"
08/2017,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"6568262,826"
08/2017,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"1525842,426"
08/2017,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"38713237,064"
08/2017,NORDESTE,Bahia,CANA DE AÇÚCAR,"148383,373"
08/2017,NORDESTE,Maranhão,CANA DE AÇÚCAR,"305153,180"
08/2017,NORDESTE,Paraíba,CANA DE AÇÚCAR,"1778211,888"
08/2017,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"2061,501"
08/2017,NORDESTE,Piauí,CANA DE AÇÚCAR,"6399,704"
08/2017,NORDESTE,Rio Grande do Norte,CANA DE AÇÚCAR,"15013,680"
08/2017,NORTE,Amazonas,CANA DE AÇÚCAR,"14238,440"
08/2017,NORTE,Pará,CANA DE AÇÚCAR,"102350,896"
08/2017,NORTE,Tocantins,CANA DE AÇÚCAR,"298288,420"
08/2017,SUDESTE,Espírito Santo,CANA DE AÇÚCAR,"211216,071"
08/2017,SUDESTE,Minas Gerais,CANA DE AÇÚCAR,"3527257,041"
08/2017,SUDESTE,Rio de Janeiro,CANA DE AÇÚCAR,"21695,750"
08/2017,SUDESTE,São Paulo,CANA DE AÇÚCAR,"15033702,296"
08/2017,SUL,Paraná,CANA DE AÇÚCAR,"1303986,498"
08/2017,NORDESTE,Maranhão,MELAÇO,"2964,425"
08/2017,NORDESTE,Pernambuco,MELAÇO,"3783,040"
08/2017,NORDESTE,Piauí,MELAÇO,"12240,763"
08/2017,SUDESTE,Minas Gerais,MELAÇO,"25272,063"
08/2017,SUDESTE,São Paulo,MELAÇO,"135125,844"
08/2017,SUL,Paraná,MELAÇO,"1,953"
08/2017,CENTRO OESTE,Goiás,MILHO,"28195,501"
08/2017,CENTRO OESTE,Mato Grosso,MILHO,"41033,886"
08/2017,CENTRO OESTE,Mato Grosso,OUTRAS MATÉRIAS - PRIMAS,"2956,621"
08/2017,SUDESTE,São Paulo,OUTRAS MATÉRIAS - PRIMAS,"4215,411"
08/2017,SUL,Paraná,OUTRAS MATÉRIAS - PRIMAS,"1532903,210"
07/2017,CENTRO OESTE,Goiás,CANA DE AÇÚCAR,"6849548,267"
07/2017,CENTRO OESTE,Mato Grosso,CANA DE AÇÚCAR,"1700679,322"
07/2017,CENTRO OESTE,Mato Grosso do Sul,CANA DE AÇÚCAR,"50973014,366"
07/2017,NORDESTE,Bahia,CANA DE AÇÚCAR,"84349,100"
07/2017,NORDESTE,Maranhão,CANA DE AÇÚCAR,"245391,050"
07/2017,NORDESTE,Paraíba,CANA DE AÇÚCAR,"59,527"
07/2017,NORDESTE,Pernambuco,CANA DE AÇÚCAR,"7530,580"
