Mês/Ano,Região,Estado,Produção Etanol Hidratado(m³),Produção Etanol Anidro (m³)
11/2021,CENTRO OESTE,Mato Grosso do Sul,64005,38243
11/2021,NORDESTE,Alagoas,39730,41128
11/2021,NORDESTE,Bahia,10671,13445
11/2021,NORDESTE,Maranhão,5,12145
11/2021,NORDESTE,Paraíba,22080,43935
11/2021,NORDESTE,Pernambuco,37120,33696
11/2021,NORDESTE,Piauí,2116,3522
11/2021,NORDESTE,Rio Grande do Norte,16463,4811
11/2021,NORDESTE,Sergipe,18901,4131
11/2021,NORTE,Amazonas,1725,
11/2021,NORTE,Pará,2144,4863
11/2021,NORTE,Tocantins,8623,8807
11/2021,SUDESTE,Espírito Santo,1466,5453
11/2021,SUDESTE,Minas Gerais,51413,43822
11/2021,SUDESTE,Rio de Janeiro,4312,
11/2021,SUDESTE,São Paulo,163261,157494
11/2021,SUL,Paraná,31277,59800
10/2021,CENTRO OESTE,Goiás,356439,129095
10/2021,CENTRO OESTE,Mato Grosso,260988,147303
10/2021,CENTRO OESTE,Mato Grosso do Sul,106427,54960
10/2021,NORDESTE,Alagoas,40396,33810
10/2021,NORDESTE,Bahia,19754,14559
10/2021,NORDESTE,Maranhão,11,16096
10/2021,NORDESTE,Paraíba,19300,46374
10/2021,NORDESTE,Pernambuco,39030,31553
10/2021,NORDESTE,Piauí,580,6501
10/2021,NORDESTE,Rio Grande do Norte,11953,8607
10/2021,NORDESTE,Sergipe,19302,3314
10/2021,NORTE,Amazonas,1272,
10/2021,NORTE,Pará,1357,7453
10/2021,NORTE,Tocantins,7975,14111
10/2021,SUDESTE,Espírito Santo,2102,8302
10/2021,SUDESTE,Minas Gerais,140693,120844
10/2021,SUDESTE,Rio de Janeiro,9854,
10/2021,SUDESTE,São Paulo,488465,436932
10/2021,SUL,Paraná,25794,40064
09/2021,CENTRO OESTE,Goiás,568162,189987
09/2021,CENTRO OESTE,Mato Grosso,276261,168367
09/2021,CENTRO OESTE,Mato Grosso do Sul,227520,123638
09/2021,NORDESTE,Alagoas,20815,14170
09/2021,NORDESTE,Bahia,28913,17246
09/2021,NORDESTE,Maranhão,2501,25145
09/2021,NORDESTE,Paraíba,15499,40963
09/2021,NORDESTE,Pernambuco,23813,11254
09/2021,NORDESTE,Piauí,2446,5742
09/2021,NORDESTE,Rio Grande do Norte,5546,9769
09/2021,NORDESTE,Sergipe,1710,
09/2021,NORTE,Amazonas,1639,
09/2021,NORTE,Pará,3332,5484
09/2021,NORTE,Tocantins,14641,12816
09/2021,SUDESTE,Espírito Santo,2441,11231
09/2021,SUDESTE,Minas Gerais,252495,187123
09/2021,SUDESTE,Rio de Janeiro,25700,
09/2021,SUDESTE,São Paulo,1067366,887598
09/2021,SUL,Paraná,86245,84544
08/2021,CENTRO OESTE,Goiás,615193,229196
08/2021,CENTRO OESTE,Mato Grosso,282703,179472
08/2021,CENTRO OESTE,Mato Grosso do Sul,276115,127163
08/2021,NORDESTE,Alagoas,943,738
08/2021,NORDESTE,Bahia,28340,23642
08/2021,NORDESTE,Maranhão,2276,26815
08/2021,NORDESTE,Paraíba,14864,20227
08/2021,NORDESTE,Piauí,5895,2939
08/2021,NORDESTE,Rio Grande do Norte,2538,
08/2021,NORTE,Amazonas,572,
08/2021,NORTE,Pará,1558,6688
08/2021,NORTE,Tocantins,25446,6538
08/2021,SUDESTE,Espírito Santo,635,15213
08/2021,SUDESTE,Minas Gerais,287479,214806
08/2021,SUDESTE,Rio de Janeiro,30210,
08/2021,SUDESTE,São Paulo,1135592,960479
08/2021,SUL,Paraná,96841,87922
07/2021,CENTRO OESTE,Goiás,596726,229581
07/2021,CENTRO OESTE,Mato Grosso,297363,156893
07/2021,CENTRO OESTE,Mato Grosso do Sul,310332,122016
07/2021,NORDESTE,Bahia,29386,23656
07/2021,NORDESTE,Maranhão,1866,26488
07/2021,NORDESTE,Paraíba,2754,3823
07/2021,NORDESTE,Piauí,1507,6557
07/2021,NORTE,Pará,2836,6997
07/2021,NORTE,Tocantins,16960,12475
07/2021,SUDESTE,Espírito Santo,1325,15941
07/2021,SUDESTE,Minas Gerais,277757,211735
07/2021,SUDESTE,Rio de Janeiro,30931,
07/2021,SUDESTE,São Paulo,1110452,1008391
07/2021,SUL,Paraná,93257,91723
07/2021,SUL,Rio Grande do Sul,1,
06/2021,CENTRO OESTE,Goiás,529724,180131
06/2021,CENTRO OESTE,Mato Grosso,245534,147330
06/2021,CENTRO OESTE,Mato Grosso do Sul,238386,85257
06/2021,NORDESTE,Bahia,26856,16602
06/2021,NORDESTE,Maranhão,2053,21507
06/2021,NORDESTE,Piauí,1785,1392
06/2021,NORTE,Pará,1807,4715
06/2021,NORTE,Tocantins,10583,17946
06/2021,SUDESTE,Espírito Santo,1835,13208
06/2021,SUDESTE,Minas Gerais,217182,195066
06/2021,SUDESTE,Rio de Janeiro,15624,
06/2021,SUDESTE,São Paulo,999164,863876
06/2021,SUL,Paraná,54851,53077
05/2021,CENTRO OESTE,Goiás,463759,176917
05/2021,CENTRO OESTE,Mato Grosso,256907,90589
05/2021,CENTRO OESTE,Mato Grosso do Sul,306531,84743
05/2021,NORDESTE,Bahia,24954,7709
05/2021,NORDESTE,Maranhão,641,17176
05/2021,NORTE,Tocantins,7979,18097
05/2021,SUDESTE,Espírito Santo,2648,8962
05/2021,SUDESTE,Minas Gerais,231239,159330
05/2021,SUDESTE,Rio de Janeiro,8714,
05/2021,SUDESTE,São Paulo,1134782,789325
05/2021,SUL,Paraná,85367,76277
04/2021,CENTRO OESTE,Goiás,259474,50273
04/2021,CENTRO OESTE,Mato Grosso,200675,45188
04/2021,CENTRO OESTE,Mato Grosso do Sul,218198,68923
04/2021,NORDESTE,Alagoas,4431,169
04/2021,NORDESTE,Bahia,15116,2470
04/2021,NORDESTE,Maranhão,372,3035
04/2021,NORDESTE,Paraíba,5191,
04/2021,NORDESTE,Pernambuco,35,
04/2021,NORTE,Tocantins,12009,
04/2021,SUDESTE,Espírito Santo,66,1552
04/2021,SUDESTE,Minas Gerais,165172,60356
04/2021,SUDESTE,Rio de Janeiro,812,
04/2021,SUDESTE,São Paulo,600829,229678
04/2021,SUL,Paraná,111883,48717
03/2021,CENTRO OESTE,Goiás,56985,1645
03/2021,CENTRO OESTE,Mato Grosso,181836,47870
03/2021,CENTRO OESTE,Mato Grosso do Sul,122845,4131
03/2021,NORDESTE,Alagoas,25406,7591
03/2021,NORDESTE,Bahia,6034,565
03/2021,NORDESTE,Paraíba,3493,7660
03/2021,NORDESTE,Pernambuco,2751,
03/2021,NORDESTE,Sergipe,7746,449
03/2021,SUDESTE,Minas Gerais,8828,6797
03/2021,SUDESTE,São Paulo,105390,4224
03/2021,SUL,Paraná,39643,14379
02/2021,CENTRO OESTE,Goiás,31495,6128
02/2021,CENTRO OESTE,Mato Grosso,130806,36048
02/2021,CENTRO OESTE,Mato Grosso do Sul,39695,4642
02/2021,NORDESTE,Alagoas,32438,25061
02/2021,NORDESTE,Paraíba,5831,8703
02/2021,NORDESTE,Pernambuco,17095,4494
02/2021,NORDESTE,Rio Grande do Norte,2874,
02/2021,NORDESTE,Sergipe,15141,1580
02/2021,SUDESTE,Minas Gerais,1,
02/2021,SUDESTE,São Paulo,1523,
02/2021,SUL,Paraná,2350,
01/2021,CENTRO OESTE,Goiás,25663,5888
01/2021,CENTRO OESTE,Mato Grosso,149462,53685
01/2021,CENTRO OESTE,Mato Grosso do Sul,5749,5456
01/2021,NORDESTE,Alagoas,30290,33571
01/2021,NORDESTE,Maranhão,97,410
01/2021,NORDESTE,Paraíba,28699,17583
01/2021,NORDESTE,Pernambuco,42122,13403
01/2021,NORDESTE,Rio Grande do Norte,16889,5237
01/2021,NORDESTE,Sergipe,15537,5262
01/2021,SUDESTE,São Paulo,7622,2430
01/2021,SUL,Paraná,72,
12/2020,CENTRO OESTE,Goiás,43915,6715
12/2020,CENTRO OESTE,Mato Grosso,165941,47366
12/2020,CENTRO OESTE,Mato Grosso do Sul,43687,17195
12/2020,NORDESTE,Alagoas,33523,43748
12/2020,NORDESTE,Bahia,12850,5813
12/2020,NORDESTE,Maranhão,1778,9498
12/2020,NORDESTE,Paraíba,24187,34938
12/2020,NORDESTE,Pernambuco,40858,22434
12/2020,NORDESTE,Rio Grande do Norte,12409,9222
12/2020,NORDESTE,Sergipe,15934,5218
12/2020,NORTE,Amazonas,530,
12/2020,NORTE,Pará,1190,1395
12/2020,SUDESTE,Espírito Santo,101,8119
12/2020,SUDESTE,Minas Gerais,11307,2094
12/2020,SUDESTE,Rio de Janeiro,2385,
12/2020,SUDESTE,São Paulo,28890,13604
12/2020,SUL,Paraná,9304,
12/2020,SUL,Rio Grande do Sul,0,
11/2020,CENTRO OESTE,Goiás,265579,72702
11/2020,CENTRO OESTE,Mato Grosso,148560,82772
11/2020,CENTRO OESTE,Mato Grosso do Sul,170320,61884
11/2020,NORDESTE,Alagoas,36337,36097
11/2020,NORDESTE,Bahia,12372,11712
11/2020,NORDESTE,Maranhão,1503,17115
11/2020,NORDESTE,Paraíba,31593,30573
11/2020,NORDESTE,Pernambuco,27909,29537
11/2020,NORDESTE,Piauí,436,4438
11/2020,NORDESTE,Rio Grande do Norte,8736,7770
11/2020,NORDESTE,Sergipe,16260,4171
11/2020,NORTE,Amazonas,1005,
11/2020,NORTE,Pará,517,5497
11/2020,NORTE,Tocantins,2078,2987
11/2020,SUDESTE,Espírito Santo,498,5944
11/2020,SUDESTE,Minas Gerais,100363,49385
11/2020,SUDESTE,Rio de Janeiro,4980,
11/2020,SUDESTE,São Paulo,426209,320626
11/2020,SUL,Paraná,59266,32014
10/2020,CENTRO OESTE,Goiás,478953,145096
10/2020,CENTRO OESTE,Mato Grosso,252578,101520
10/2020,CENTRO OESTE,Mato Grosso do Sul,219899,73702
10/2020,NORDESTE,Alagoas,46090,29727
10/2020,NORDESTE,Bahia,23910,20257
10/2020,NORDESTE,Maranhão,2986,27540
10/2020,NORDESTE,Paraíba,32458,32215
10/2020,NORDESTE,Pernambuco,37080,26581
10/2020,NORDESTE,Piauí,3487,4096
10/2020,NORDESTE,Rio Grande do Norte,14817,5032
10/2020,NORDESTE,Sergipe,13818,4440
10/2020,NORTE,Amazonas,2820,
10/2020,NORTE,Pará,3561,6987
10/2020,NORTE,Tocantins,11672,12115
10/2020,SUDESTE,Espírito Santo,1979,9363
10/2020,SUDESTE,Minas Gerais,235966,142669
10/2020,SUDESTE,Rio de Janeiro,16625,
10/2020,SUDESTE,São Paulo,1026410,742034
10/2020,SUL,Paraná,73911,81726
09/2020,CENTRO OESTE,Goiás,629040,174982
09/2020,CENTRO OESTE,Mato Grosso,253919,142764
09/2020,CENTRO OESTE,Mato Grosso do Sul,310476,112826
09/2020,NORDESTE,Alagoas,24061,6034
09/2020,NORDESTE,Bahia,23685,20762
09/2020,NORDESTE,Maranhão,2643,25929
09/2020,NORDESTE,Paraíba,32658,25186
09/2020,NORDESTE,Pernambuco,34279,5788
09/2020,NORDESTE,Piauí,2133,6333
09/2020,NORDESTE,Rio Grande do Norte,19731,2417
09/2020,NORDESTE,Sergipe,2226,
09/2020,NORTE,Amazonas,2281,
09/2020,NORTE,Pará,1718,7230
09/2020,NORTE,Tocantins,14450,13029
09/2020,SUDESTE,Espírito Santo,1806,11664
09/2020,SUDESTE,Minas Gerais,350330,145574
09/2020,SUDESTE,Rio de Janeiro,24679,
09/2020,SUDESTE,São Paulo,1350952,815876
09/2020,SUL,Paraná,95633,101009
08/2020,CENTRO OESTE,Goiás,679942,185029
08/2020,CENTRO OESTE,Mato Grosso,254662,117836
08/2020,CENTRO OESTE,Mato Grosso do Sul,280128,85990
08/2020,NORDESTE,Alagoas,1332,102
08/2020,NORDESTE,Bahia,22642,15590
08/2020,NORDESTE,Maranhão,2022,26634
08/2020,NORDESTE,Paraíba,18790,19942
08/2020,NORDESTE,Pernambuco,2363,858
08/2020,NORDESTE,Piauí,2045,6654
08/2020,NORDESTE,Rio Grande do Norte,8055,1658
08/2020,NORTE,Amazonas,2262,
08/2020,NORTE,Pará,1775,7725
08/2020,NORTE,Tocantins,14376,15389
08/2020,SUDESTE,Espírito Santo,1957,12510
08/2020,SUDESTE,Minas Gerais,337591,168383
08/2020,SUDESTE,Rio de Janeiro,30784,
08/2020,SUDESTE,São Paulo,1459643,719285
08/2020,SUL,Paraná,81871,67403
08/2020,SUL,Rio Grande do Sul,88,
07/2020,CENTRO OESTE,Goiás,619347,190231
07/2020,CENTRO OESTE,Mato Grosso,259113,100328
07/2020,CENTRO OESTE,Mato Grosso do Sul,321670,120532
07/2020,NORDESTE,Bahia,21184,16963
07/2020,NORDESTE,Maranhão,2790,23371
07/2020,NORDESTE,Paraíba,3441,3232
07/2020,NORDESTE,Piauí,1655,6271
07/2020,NORTE,Amazonas,110,
07/2020,NORTE,Pará,1140,6627
07/2020,NORTE,Tocantins,12583,14788
07/2020,SUDESTE,Espírito Santo,1558,10826
07/2020,SUDESTE,Minas Gerais,352444,133675
07/2020,SUDESTE,Rio de Janeiro,31872,
07/2020,SUDESTE,São Paulo,1475375,757806
07/2020,SUL,Paraná,98344,84671
06/2020,CENTRO OESTE,Goiás,573210,158068
06/2020,CENTRO OESTE,Mato Grosso,221528,94832
06/2020,CENTRO OESTE,Mato Grosso do Sul,230704,65384
06/2020,NORDESTE,Alagoas,16,
06/2020,NORDESTE,Bahia,18553,14464
06/2020,NORDESTE,Maranhão,1303,16499
06/2020,NORDESTE,Piauí,721,344
06/2020,NORTE,Pará,1825,3154
06/2020,NORTE,Tocantins,9915,14999
06/2020,SUDESTE,Espírito Santo,1778,7543
06/2020,SUDESTE,Minas Gerais,286896,133321
06/2020,SUDESTE,Rio de Janeiro,16845,
06/2020,SUDESTE,São Paulo,1292693,619453
06/2020,SUL,Paraná,72456,56647
05/2020,CENTRO OESTE,Goiás,443391,128625
05/2020,CENTRO OESTE,Mato Grosso,210130,55023
05/2020,CENTRO OESTE,Mato Grosso do Sul,237795,55447
05/2020,NORDESTE,Alagoas,1443,103
05/2020,NORDESTE,Bahia,18240,9058
05/2020,NORDESTE,Maranhão,109,12094
05/2020,NORTE,Tocantins,10418,12875
05/2020,SUDESTE,Espírito Santo,455,4936
05/2020,SUDESTE,Minas Gerais,234881,116178
05/2020,SUDESTE,Rio de Janeiro,7921,
05/2020,SUDESTE,São Paulo,1390115,606576
05/2020,SUL,Paraná,104457,59135
04/2020,CENTRO OESTE,Goiás,284202,32703
04/2020,CENTRO OESTE,Mato Grosso,155183,45972
04/2020,CENTRO OESTE,Mato Grosso do Sul,234030,39298
04/2020,NORDESTE,Alagoas,6904,3855
04/2020,NORDESTE,Bahia,3087,2402
04/2020,NORDESTE,Maranhão,,732
04/2020,NORDESTE,Paraíba,1258,4521
04/2020,NORDESTE,Pernambuco,415,
04/2020,NORTE,Tocantins,12826,
04/2020,SUDESTE,Espírito Santo,597,
04/2020,SUDESTE,Minas Gerais,165249,74952
04/2020,SUDESTE,Rio de Janeiro,1296,
04/2020,SUDESTE,São Paulo,1019681,378399
04/2020,SUL,Paraná,94981,33439
03/2020,CENTRO OESTE,Goiás,96146,
03/2020,CENTRO OESTE,Mato Grosso,117687,43735
03/2020,CENTRO OESTE,Mato Grosso do Sul,144387,30860
03/2020,NORDESTE,Alagoas,11905,6897
03/2020,NORDESTE,Paraíba,3098,8660
03/2020,NORDESTE,Pernambuco,18460,3518
03/2020,NORDESTE,Sergipe,743,
03/2020,SUDESTE,Minas Gerais,36246,711
03/2020,SUDESTE,São Paulo,166160,27979
03/2020,SUL,Paraná,25056,19772
02/2020,CENTRO OESTE,Goiás,61023,
02/2020,CENTRO OESTE,Mato Grosso,94180,27376
02/2020,CENTRO OESTE,Mato Grosso do Sul,16852,4045
02/2020,NORDESTE,Alagoas,31310,22559
02/2020,NORDESTE,Paraíba,18018,7724
02/2020,NORDESTE,Pernambuco,55053,7023
02/2020,NORDESTE,Rio Grande do Norte,7709,130
02/2020,NORDESTE,Sergipe,6794,1709
02/2020,SUDESTE,Espírito Santo,322,1874
02/2020,SUDESTE,São Paulo,2216,1715
02/2020,SUL,Paraná,4064,1832
01/2020,CENTRO OESTE,Goiás,46113,3040
01/2020,CENTRO OESTE,Mato Grosso,89633,41235
01/2020,CENTRO OESTE,Mato Grosso do Sul,6,138
01/2020,NORDESTE,Alagoas,46379,37480
01/2020,NORDESTE,Paraíba,32383,30653
01/2020,NORDESTE,Pernambuco,64960,17902
01/2020,NORDESTE,Rio Grande do Norte,14998,5619
01/2020,NORDESTE,Sergipe,21392,4451
01/2020,NORTE,Rondônia,66,
01/2020,SUDESTE,Espírito Santo,334,5531
01/2020,SUDESTE,São Paulo,2864,2997
01/2020,SUL,Paraná,4657,2222
12/2019,CENTRO OESTE,Goiás,100179,9982
12/2019,CENTRO OESTE,Mato Grosso,82381,45012
12/2019,CENTRO OESTE,Mato Grosso do Sul,17440,6773
12/2019,NORDESTE,Alagoas,52650,40902
12/2019,NORDESTE,Maranhão,852,6739
12/2019,NORDESTE,Paraíba,32085,38978
12/2019,NORDESTE,Pernambuco,63172,28520
12/2019,NORDESTE,Piauí,3123,688
12/2019,NORDESTE,Rio Grande do Norte,15472,6586
12/2019,NORDESTE,Sergipe,19318,7196
12/2019,NORTE,Amazonas,992,
12/2019,NORTE,Pará,1163,5289
12/2019,NORTE,Rondônia,293,
12/2019,NORTE,Tocantins,2021,
12/2019,SUDESTE,Espírito Santo,327,7322
12/2019,SUDESTE,Minas Gerais,26225,3405
12/2019,SUDESTE,São Paulo,71599,26687
12/2019,SUL,Paraná,6715,1093
11/2019,CENTRO OESTE,Goiás,329374,80000
11/2019,CENTRO OESTE,Mato Grosso,146283,49609
11/2019,CENTRO OESTE,Mato Grosso do Sul,93207,38863
11/2019,NORDESTE,Alagoas,52607,42066
11/2019,NORDESTE,Bahia,2959,8114
11/2019,NORDESTE,Maranhão,2060,15577
11/2019,NORDESTE,Paraíba,27749,37624
11/2019,NORDESTE,Pernambuco,52678,29982
11/2019,NORDESTE,Piauí,2881,4386
11/2019,NORDESTE,Rio Grande do Norte,17690,6340
11/2019,NORDESTE,Sergipe,19497,5516
11/2019,NORTE,Amazonas,2767,
11/2019,NORTE,Pará,2488,7147
11/2019,NORTE,Rondônia,474,
11/2019,NORTE,Tocantins,7385,10176
11/2019,SUDESTE,Espírito Santo,351,5864
11/2019,SUDESTE,Minas Gerais,180370,48652
11/2019,SUDESTE,São Paulo,661083,395386
11/2019,SUL,Paraná,61981,20603
11/2019,SUL,Rio Grande do Sul,58,
10/2019,CENTRO OESTE,Goiás,580606,131660
10/2019,CENTRO OESTE,Mato Grosso,194107,79346
10/2019,CENTRO OESTE,Mato Grosso do Sul,266492,82066
10/2019,NORDESTE,Alagoas,54259,36102
10/2019,NORDESTE,Bahia,21337,14743
10/2019,NORDESTE,Maranhão,2631,20126
10/2019,NORDESTE,Paraíba,31483,34002
10/2019,NORDESTE,Pernambuco,54111,21319
10/2019,NORDESTE,Piauí,3765,5763
10/2019,NORDESTE,Rio Grande do Norte,24955,3355
10/2019,NORDESTE,Sergipe,17930,3170
10/2019,NORTE,Amazonas,1935,
10/2019,NORTE,Pará,4468,5216
10/2019,NORTE,Rondônia,586,
10/2019,NORTE,Tocantins,8498,14748
10/2019,SUDESTE,Espírito Santo,1703,9649
10/2019,SUDESTE,Minas Gerais,352329,103365
10/2019,SUDESTE,Rio de Janeiro,5301,
10/2019,SUDESTE,São Paulo,1582724,769479
10/2019,SUL,Paraná,139675,78232
10/2019,SUL,Rio Grande do Sul,243,
09/2019,CENTRO OESTE,Goiás,692578,93061
09/2019,CENTRO OESTE,Mato Grosso,226661,71598
09/2019,CENTRO OESTE,Mato Grosso do Sul,362064,88440
09/2019,NORDESTE,Alagoas,34118,10895
09/2019,NORDESTE,Bahia,25192,15114
09/2019,NORDESTE,Maranhão,4113,23040
09/2019,NORDESTE,Paraíba,34160,22452
09/2019,NORDESTE,Pernambuco,28134,7271
09/2019,NORDESTE,Piauí,7096,1797
09/2019,NORDESTE,Rio Grande do Norte,15875,832
09/2019,NORDESTE,Sergipe,3493,
09/2019,NORTE,Amazonas,1337,
09/2019,NORTE,Pará,1683,6477
09/2019,NORTE,Rondônia,614,
09/2019,NORTE,Tocantins,14957,10692
09/2019,SUDESTE,Espírito Santo,1039,13764
09/2019,SUDESTE,Minas Gerais,398146,140590
09/2019,SUDESTE,Rio de Janeiro,14323,
09/2019,SUDESTE,São Paulo,1556298,751201
09/2019,SUL,Paraná,146686,80512
09/2019,SUL,Rio Grande do Sul,548,
08/2019,CENTRO OESTE,Goiás,712479,118579
08/2019,CENTRO OESTE,Mato Grosso,207198,68378
08/2019,CENTRO OESTE,Mato Grosso do Sul,428578,99461
08/2019,NORDESTE,Alagoas,6934,201
08/2019,NORDESTE,Bahia,27233,14087
08/2019,NORDESTE,Maranhão,8738,27570
08/2019,NORDESTE,Paraíba,25657,17711
08/2019,NORDESTE,Pernambuco,2507,277
08/2019,NORDESTE,Piauí,7680,807
08/2019,NORDESTE,Rio Grande do Norte,4132,
08/2019,NORTE,Amazonas,1233,
08/2019,NORTE,Pará,1517,7553
08/2019,NORTE,Rondônia,793,
08/2019,NORTE,Tocantins,8316,19552
08/2019,SUDESTE,Espírito Santo,557,14448
08/2019,SUDESTE,Minas Gerais,391926,176701
08/2019,SUDESTE,Rio de Janeiro,22727,
08/2019,SUDESTE,São Paulo,1758127,904786
08/2019,SUL,Paraná,196590,98452
08/2019,SUL,Rio Grande do Sul,675,
07/2019,CENTRO OESTE,Goiás,699475,108721
07/2019,CENTRO OESTE,Mato Grosso,164498,103947
07/2019,CENTRO OESTE,Mato Grosso do Sul,393556,84723
07/2019,NORDESTE,Bahia,28819,13118
07/2019,NORDESTE,Maranhão,3818,23811
07/2019,NORDESTE,Paraíba,6031,2498
07/2019,NORDESTE,Piauí,3639,3364
07/2019,NORTE,Amazonas,551,
07/2019,NORTE,Pará,2536,6852
07/2019,NORTE,Rondônia,810,
07/2019,NORTE,Tocantins,15149,6455
07/2019,SUDESTE,Espírito Santo,2339,19038
07/2019,SUDESTE,Minas Gerais,384120,190212
07/2019,SUDESTE,Rio de Janeiro,25630,
07/2019,SUDESTE,São Paulo,1571070,888342
07/2019,SUL,Paraná,129212,101832
07/2019,SUL,Rio Grande do Sul,116,
06/2019,CENTRO OESTE,Goiás,639011,112927
06/2019,CENTRO OESTE,Mato Grosso,132040,116405
06/2019,CENTRO OESTE,Mato Grosso do Sul,353666,87284
06/2019,NORDESTE,Bahia,19378,13371
06/2019,NORDESTE,Maranhão,3486,16960
06/2019,NORDESTE,Piauí,1471,
06/2019,NORTE,Pará,1804,4356
06/2019,NORTE,Rondônia,542,
06/2019,NORTE,Tocantins,13481,7927
06/2019,SUDESTE,Espírito Santo,2243,17918
06/2019,SUDESTE,Minas Gerais,314095,180216
06/2019,SUDESTE,Rio de Janeiro,15773,
06/2019,SUDESTE,São Paulo,1459884,870679
06/2019,SUL,Paraná,125294,76337
05/2019,CENTRO OESTE,Goiás,521159,89978
05/2019,CENTRO OESTE,Mato Grosso,138129,73640
05/2019,CENTRO OESTE,Mato Grosso do Sul,311858,93022
05/2019,NORDESTE,Bahia,30065,4736
05/2019,NORDESTE,Maranhão,8,8216
05/2019,NORTE,Pará,44,
05/2019,NORTE,Rondônia,391,
05/2019,NORTE,Tocantins,5842,11986
05/2019,SUDESTE,Espírito Santo,3765,9284
05/2019,SUDESTE,Minas Gerais,304513,120211
05/2019,SUDESTE,Rio de Janeiro,6647,
05/2019,SUDESTE,São Paulo,1354345,770211
05/2019,SUL,Paraná,126462,66363
04/2019,CENTRO OESTE,Goiás,281750,26710
04/2019,CENTRO OESTE,Mato Grosso,111717,24940
04/2019,CENTRO OESTE,Mato Grosso do Sul,275730,45192
04/2019,NORDESTE,Alagoas,7001,3276
04/2019,NORDESTE,Bahia,10734,96
04/2019,NORDESTE,Paraíba,570,
04/2019,NORTE,Rondônia,233,
04/2019,NORTE,Tocantins,9185,
04/2019,SUDESTE,Espírito Santo,600,660
04/2019,SUDESTE,Minas Gerais,199062,40820
04/2019,SUDESTE,Rio de Janeiro,1219,
04/2019,SUDESTE,São Paulo,830469,249544
04/2019,SUL,Paraná,131958,31700
03/2019,CENTRO OESTE,Goiás,80396,4260
03/2019,CENTRO OESTE,Mato Grosso,74679,17429
03/2019,CENTRO OESTE,Mato Grosso do Sul,104445,15696
03/2019,NORDESTE,Alagoas,21997,13012
03/2019,NORDESTE,Paraíba,278,9010
03/2019,NORDESTE,Pernambuco,5557,
03/2019,NORTE,Rondônia,112,
03/2019,SUDESTE,Minas Gerais,20947,2756
03/2019,SUDESTE,São Paulo,145286,29624
03/2019,SUL,Paraná,23733,12665
02/2019,CENTRO OESTE,Goiás,22957,5848
02/2019,CENTRO OESTE,Mato Grosso,44295,11578
02/2019,CENTRO OESTE,Mato Grosso do Sul,30129,5230
02/2019,NORDESTE,Alagoas,31886,21688
02/2019,NORDESTE,Paraíba,1378,8339
02/2019,NORDESTE,Pernambuco,15626,6720
02/2019,NORDESTE,Rio Grande do Norte,1011,280
02/2019,NORDESTE,Sergipe,2802,2322
02/2019,SUDESTE,Espírito Santo,219,786
02/2019,SUDESTE,São Paulo,5522,2507
02/2019,SUL,Paraná,2856,2030
01/2019,CENTRO OESTE,Goiás,21947,6728
01/2019,CENTRO OESTE,Mato Grosso,37365,33146
01/2019,CENTRO OESTE,Mato Grosso do Sul,17808,23148
01/2019,NORDESTE,Alagoas,42104,31461
01/2019,NORDESTE,Paraíba,15903,13118
01/2019,NORDESTE,Pernambuco,41719,10357
01/2019,NORDESTE,Rio Grande do Norte,11526,1588
01/2019,NORDESTE,Sergipe,17139,3443
01/2019,NORTE,Pará,1402,1237
01/2019,SUDESTE,Espírito Santo,1131,7962
01/2019,SUDESTE,Minas Gerais,546,
01/2019,SUDESTE,São Paulo,10383,2691
01/2019,SUL,Paraná,3655,
12/2018,CENTRO OESTE,Goiás,128440,7425
12/2018,CENTRO OESTE,Mato Grosso,76543,15321
12/2018,CENTRO OESTE,Mato Grosso do Sul,144581,46461
12/2018,NORDESTE,Alagoas,60676,28454
12/2018,NORDESTE,Bahia,3165,2015
12/2018,NORDESTE,Maranhão,,650
12/2018,NORDESTE,Paraíba,39042,25072
12/2018,NORDESTE,Pernambuco,80315,10609
12/2018,NORDESTE,Piauí,3402,
12/2018,NORDESTE,Rio Grande do Norte,15624,1854
12/2018,NORDESTE,Sergipe,23321,3257
12/2018,NORTE,Pará,718,3916
12/2018,NORTE,Rondônia,47,
12/2018,NORTE,Tocantins,1925,
12/2018,SUDESTE,Espírito Santo,362,6578
12/2018,SUDESTE,Minas Gerais,65494,3705
12/2018,SUDESTE,Rio de Janeiro,3144,
12/2018,SUDESTE,São Paulo,318040,41324
12/2018,SUL,Paraná,60970,5264
11/2018,CENTRO OESTE,Goiás,181184,38843
11/2018,CENTRO OESTE,Mato Grosso,84204,40329
11/2018,CENTRO OESTE,Mato Grosso do Sul,205638,83594
11/2018,NORDESTE,Alagoas,56427,36860
11/2018,NORDESTE,Bahia,15471,9922
11/2018,NORDESTE,Maranhão,535,13117
11/2018,NORDESTE,Paraíba,47430,25302
11/2018,NORDESTE,Pernambuco,80717,15259
11/2018,NORDESTE,Piauí,4854,2822
11/2018,NORDESTE,Rio Grande do Norte,19118,4276
11/2018,NORDESTE,Sergipe,18157,6924
11/2018,NORTE,Amazonas,1143,
11/2018,NORTE,Pará,399,6027
11/2018,NORTE,Rondônia,191,
11/2018,NORTE,Tocantins,15156,2399
11/2018,SUDESTE,Espírito Santo,2683,10002
11/2018,SUDESTE,Minas Gerais,121972,29117
11/2018,SUDESTE,Rio de Janeiro,7622,
